대여소_ID_num,대여소명,위도,경도
257,서초1동_017_1,37.493618,127.014183
258,서초3동_028_1,37.484161,127.010971
259,방배3동_027_1,37.475979,126.986282
260,방배4동_016_1,37.486526,126.989166
261,방배2동_031_1,37.468102,126.986801
262,양재1동_082_1,37.457424,127.022652
263,내곡동_005_2,37.45855,127.055885
264,내곡동_004_1,37.45562,127.067101
265,내곡동_002_1,37.455688,127.064003
266,방배2동_032_1,37.464298,126.988525
267,안암동_028_1,37.590714,127.036194
268,"종로1,2,3,4가동_003_3",37.570396,126.981789
269,양평1동_028_1,37.522697,126.885681
270,영등포동_053_1,37.518284,126.912636
271,도림동_002_1,37.507931,126.895233
272,용산2가동_010_1,37.541515,126.979515
273,남영동_003_1,37.544079,126.972
274,한강로동_013_1,37.52293,126.961693
275,원효로2동_026_1,37.534424,126.94857
276,진관동_028_1,37.642609,126.921478
277,응암3동_023_1,37.594414,126.918015
278,상봉2동_014_1,37.596558,127.085838
279,묵1동_003_1,37.619637,127.085045
280,상봉2동_033_1,37.592758,127.07267
281,면목2동_026_1,37.585655,127.07505
282,중앙동_029_1,37.481548,126.952003
283,방화1동_048_1,37.568447,126.821648
284,이촌1동_006_1,37.521282,126.973465
285,명동_001_2,37.568634,126.982315
286,용문동_003_1,37.539001,126.961815
287,남영동_003_2,37.541981,126.971542
288,원효로2동_025_1,37.531422,126.9515
289,한남동_030_1,37.528988,127.006622
290,망우본동_003_1,37.604603,127.109253
291,묵1동_005_1,37.607349,127.07859
292,월계1동_008_1,37.626942,127.05513
293,공릉2동_020_1,37.623165,127.0905
294,목5동_002_2,37.537228,126.886612
295,등촌3동_052_1,37.562744,126.842674
296,발산1동_065_1,37.553509,126.825867
297,영등포본동_037_1,37.513229,126.904465
298,흑석동_057_1,37.505356,126.966179
299,대방동_007_1,37.51199,126.927086
300,신사동_001_1,37.488991,126.916382
301,명동_001_3,37.566223,126.983589
302,도곡1동_013_1,37.484798,127.036995
303,양재2동_007_1,37.475906,127.046242
304,세곡동_010_1,37.476028,127.105942
305,논현1동_003_2,37.51395,127.030151
306,논현2동_020_1,37.509586,127.040909
307,오금동_062_1,37.504589,127.139366
308,명동_001_4,37.565464,126.984138
309,둔촌2동_041_1,37.530994,127.142372
310,고덕1동_102_1,37.561203,127.180267
311,"종로5,6가동_010_1",37.570141,127.009377
312,교남동_015_1,37.56749,126.965919
313,교남동_015_2,37.568855,126.964561
314,상봉2동_014_2,37.596329,127.085899
315,남영동_003_3,37.544647,126.972343
316,구의1동_008_1,37.542519,127.084084
317,광장동_040_1,37.543427,127.096619
318,명동_001_5,37.564476,126.986969
319,망우3동_002_1,37.595112,127.100327
320,면목본동_016_1,37.58976,127.093239
321,정릉4동_001_1,37.612072,127.008133
322,정릉2동_025_1,37.60479,127.010582
323,정릉1동_018_1,37.603096,127.013504
324,우이동_026_1,37.663666,127.012428
325,우이동_031_1,37.656158,127.013138
326,우이동_019_1,37.649673,127.013451
327,수유2동_030_1,37.64167,127.016884
328,삼양동_005_1,37.62653,127.018059
329,삼양동_001_1,37.621552,127.02037
330,"상계6,7동_001_2",37.648438,127.064446
331,공릉2동_002_2,37.64283,127.106667
332,공릉2동_002_3,37.642654,127.108383
333,성산2동_032_1,37.569378,126.90403
334,신정3동_079_1,37.51223,126.835785
335,소공동_001_1,37.561344,126.980507
336,목3동_034_1,37.542183,126.863304
337,공항동_038_1,37.560291,126.818756
338,가산동_004_1,37.481232,126.881485
339,서초1동_008_1,37.485672,127.015923
340,서초2동_039_1,37.486469,127.028061
341,세곡동_033_1,37.472454,127.096077
342,오금동_041_1,37.505627,127.136421
343,잠실4동_027_1,37.515862,127.107048
344,마천1동_022_1,37.497517,127.154678
345,마천1동_025_1,37.495659,127.157173
346,오금동_056_1,37.499874,127.141479
347,오금동_038_2,37.505413,127.131691
348,위례동_057_1,37.47747,127.144592
349,위례동_034_1,37.474377,127.140671
350,위례동_015_1,37.477467,127.14151
351,장지동_008_1,37.487999,127.131088
352,"종로1,2,3,4가동_002_1",37.576241,126.98616
353,성내3동_030_1,37.526783,127.135574
354,암사3동_006_2,37.554836,127.137321
355,풍납2동_010_1,37.531471,127.111092
356,수유1동_006_1,37.630188,127.017738
357,성북동_012_1,37.592968,127.002235
358,중계본동_004_1,37.645802,127.08226
359,중계4동_034_1,37.657452,127.076805
360,중곡4동_054_1,37.568649,127.08625
361,화양동_008_1,37.541718,127.08017
362,"종로1,2,3,4가동_002_2",37.573357,126.987465
363,"종로1,2,3,4가동_004_1",37.57048,126.996635
364,삼성1동_018_1,37.516785,127.051613
365,도봉2동_031_1,37.677719,127.046814
366,을지로동_001_1,37.566605,126.992493
367,중림동_017_1,37.554108,126.965408
368,을지로동_003_1,37.5644,126.991432
369,다산동_017_1,37.549889,127.007347
370,광희동_009_1,37.562126,127.006256
371,"종로1,2,3,4가동_010_1",37.570396,126.98819
372,황학동_015_1,37.571014,127.019745
373,보광동_028_1,37.52401,127.00145
374,한강로동_030_1,37.523651,126.970268
375,한강로동_025_1,37.52961,126.968872
376,이태원1동_004_2,37.533798,126.98867
377,이촌2동_003_1,37.527149,126.955162
378,전농2동_024_1,37.57653,127.065941
379,전농1동_034_1,37.577621,127.052109
380,"종로1,2,3,4가동_005_1",37.568485,126.987885
381,망우본동_060_1,37.59734,127.093086
382,면목7동_042_1,37.579845,127.092766
383,보문동_014_1,37.585197,127.019669
384,안암동_013_1,37.583752,127.02195
385,성북동_029_1,37.590172,127.004089
386,성북동_016_2,37.593361,126.999092
387,종암동_008_1,37.59972,127.040382
388,길음1동_024_1,37.604298,127.022614
389,동선동_024_1,37.591396,127.020157
390,도봉1동_030_1,37.68401,127.045792
391,도봉1동_011_2,37.687592,127.045502
392,도봉1동_003_1,37.68763,127.042213
393,방학1동_044_1,37.667599,127.042999
394,방학1동_028_1,37.662979,127.041939
395,쌍문4동_034_1,37.65815,127.032669
396,도봉1동_039_1,37.679119,127.044983
397,창5동_005_1,37.652241,127.037064
398,창2동_033_1,37.639702,127.038834
399,명동_001_8,37.566383,126.987206
400,창4동_043_1,37.646309,127.052742
401,중계본동_007_1,37.650459,127.080887
402,공릉1동_031_1,37.61832,127.07563
403,중계본동_007_2,37.64819,127.080482
404,상계10동_034_1,37.66114,127.058052
405,응암1동_028_1,37.600361,126.922813
406,명동_001_9,37.56599,126.987793
407,진관동_025_1,37.643185,126.915092
408,진관동_011_1,37.638252,126.919456
409,불광1동_018_1,37.61097,126.92981
410,진관동_108_1,37.639259,126.918907
411,불광1동_060_1,37.612801,126.932175
412,불광1동_047_1,37.616543,126.925125
413,응암2동_008_1,37.593479,126.923187
414,녹번동_048_1,37.609447,126.934677
415,녹번동_048_2,37.608498,126.931999
416,진관동_045_1,37.64209,126.929413
417,진관동_003_2,37.643394,126.932137
418,홍제2동_006_1,37.5867,126.94677
419,북아현동_021_1,37.558128,126.956207
420,홍은2동_042_1,37.597149,126.93853
421,성산1동_030_1,37.563339,126.908203
422,목5동_035_1,37.541142,126.876678
423,목5동_028_1,37.537869,126.881409
424,목1동_003_2,37.52668,126.876167
425,신정3동_001_1,37.514278,126.828743
426,신정7동_004_1,37.514721,126.8592
427,서강동_008_1,37.547871,126.923531
428,"종로1,2,3,4가동_005_2",37.570599,126.991791
429,신월4동_007_1,37.524071,126.8386
430,신정3동_057_1,37.506821,126.844299
431,목1동_003_3,37.524742,126.877663
432,신정7동_008_1,37.510658,126.859161
433,목1동_003_4,37.531029,126.875893
434,염창동_061_1,37.547199,126.874489
435,염창동_060_1,37.549179,126.868797
436,염창동_058_1,37.550049,126.873161
437,가양3동_028_1,37.561249,126.86058
438,"종로1,2,3,4가동_005_3",37.570194,126.991653
439,등촌1동_043_1,37.556736,126.853073
440,등촌3동_003_1,37.556614,126.851166
441,등촌1동_019_1,37.554379,126.857536
442,발산1동_062_1,37.55011,126.823677
443,방화2동_007_1,37.572472,126.806168
444,발산1동_001_1,37.557468,126.82972
445,발산1동_057_2,37.551044,126.818497
446,화곡6동_014_1,37.556877,126.848808
447,필동_005_1,37.561447,126.993111
448,화곡6동_033_1,37.548286,126.853569
449,구로3동_006_1,37.484859,126.895187
450,개봉2동_030_1,37.490341,126.860931
451,고척2동_002_1,37.50605,126.860786
452,오류1동_002_1,37.496761,126.844963
453,오류2동_009_1,37.491798,126.83242
454,오류2동_006_1,37.48938,126.834198
455,구로2동_001_1,37.496998,126.87178
456,"종로1,2,3,4가동_001_2",37.578979,126.996475
457,구로1동_003_1,37.495399,126.87101
458,독산1동_020_1,37.472481,126.895866
459,독산1동_040_1,37.47818,126.897408
460,시흥1동_048_1,37.451321,126.897621
461,독산3동_026_1,37.478409,126.907372
462,독산1동_018_2,37.46056,126.887093
463,양평2동_029_1,37.532101,126.89444
464,"종로1,2,3,4가동_004_2",37.570957,126.997124
465,구로5동_040_2,37.498241,126.893982
466,대림2동_016_1,37.48753,126.904877
467,신대방1동_015_1,37.489399,126.907112
468,신대방2동_007_2,37.497669,126.919868
469,사당3동_017_1,37.488159,126.966476
470,노량진1동_001_1,37.51392,126.943069
471,조원동_019_1,37.486824,126.912834
472,대학동_002_1,37.467094,126.949326
473,은천동_065_1,37.482189,126.946159
474,"종로1,2,3,4가동_004_3",37.571068,126.998192
475,내곡동_006_1,37.450661,127.05706
476,서초3동_039_1,37.491951,127.008553
477,반포1동_037_1,37.503601,127.020782
478,잠원동_050_1,37.515881,127.019302
479,서초2동_002_1,37.493259,127.029533
480,방배3동_024_1,37.479092,126.990677
481,개포2동_003_2,37.48616,127.067238
482,혜화동_002_1,37.585629,127.000679
483,개포2동_019_1,37.480881,127.063042
484,개포1동_011_1,37.475986,127.059624
485,개포4동_017_1,37.474472,127.05545
486,개포4동_034_1,37.480251,127.054192
487,도곡2동_052_1,37.485741,127.051048
488,역삼1동_013_1,37.50811,127.039452
489,이화동_014_1,37.58157,127.001785
490,일원본동_003_1,37.486561,127.082672
491,개포2동_045_1,37.48872,127.074539
492,개포3동_028_1,37.49181,127.073158
493,삼성1동_018_2,37.518711,127.05085
494,논현1동_001_1,37.517571,127.023643
495,역삼1동_044_1,37.49847,127.030113
496,세곡동_056_1,37.477341,127.113274
497,위례동_040_1,37.474583,127.137543
498,이화동_009_1,37.580444,127.002342
499,오륜동_002_1,37.521938,127.131866
500,삼전동_001_1,37.506561,127.096558
501,잠실6동_004_1,37.513962,127.100304
502,잠실3동_053_2,37.508678,127.103432
503,잠실6동_001_1,37.509201,127.104118
504,오륜동_007_1,37.519878,127.136711
505,오륜동_014_1,37.506939,127.139221
506,"종로5,6가동_002_1",37.575611,127.0047
507,잠실3동_053_3,37.506748,127.098831
508,장지동_007_2,37.480953,127.130104
509,고덕2동_005_2,37.562546,127.164482
510,고덕2동_011_1,37.560028,127.169678
511,고덕1동_095_1,37.563354,127.179054
512,상일2동_007_2,37.555809,127.173744
513,금호4가동_002_1,37.546089,127.02507
514,"종로5,6가동_007_1",37.5742,127.006592
515,신당5동_018_1,37.56179,127.024391
516,광장동_013_1,37.550598,127.110512
517,능동_002_2,37.549789,127.075928
518,"종로5,6가동_010_2",37.571239,127.00441
519,"종로5,6가동_009_1",37.57114,127.000671
520,"종로1,2,3,4가동_002_3",37.570358,126.986382
521,"종로5,6가동_010_3",37.570961,127.006058
522,숭인2동_005_1,37.574471,127.019829
523,"종로5,6가동_009_2",37.573307,127.00071
524,"종로5,6가동_010_4",37.57132,127.00721
525,"종로1,2,3,4가동_003_4",37.569893,126.97757
526,한강로동_010_1,37.5327,126.964378
527,왕십리2동_028_1,37.560146,127.02636
528,금호1가동_011_1,37.554779,127.024841
529,왕십리2동_031_1,37.56068,127.026779
530,사직동_009_6,37.574364,126.972366
531,신당동_005_1,37.568962,127.010147
532,천호2동_026_1,37.54467,127.132675
533,천호1동_006_1,37.546898,127.134666
534,상일1동_048_1,37.553482,127.165054
535,회기동_004_1,37.594601,127.051971
536,천호3동_039_1,37.538227,127.131744
537,풍납2동_010_2,37.531311,127.111282
538,청량리동_003_1,37.58712,127.043251
539,전농1동_059_1,37.575546,127.048813
540,광희동_001_1,37.565331,127.007843
541,제기동_032_1,37.57835,127.033386
542,용신동_013_1,37.577999,127.037628
543,성북동_022_1,37.59454,126.995209
544,안암동_028_2,37.586445,127.031601
545,월곡2동_026_1,37.602356,127.039078
546,창2동_014_1,37.645199,127.032982
547,상계8동_030_1,37.665661,127.057297
548,상계9동_027_1,37.665249,127.057892
549,상계10동_033_1,37.65773,127.059311
550,상계10동_005_1,37.660728,127.065132
551,공항동_030_1,37.55645,126.815979
552,등촌3동_059_1,37.562901,126.849472
553,공항동_009_1,37.554729,126.816093
554,시흥3동_020_1,37.437271,126.902687
555,영등포동_025_1,37.522518,126.907219
556,사직동_005_1,37.576332,126.96859
557,영등포동_023_1,37.518211,126.902229
558,대림3동_020_1,37.499859,126.89724
