대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
발산1동_001_4,921,3.0,19.0,37.555309,126.829857,126.829857
도화동_004_1,922,6.0,9.0,37.539272,126.945915,126.945915
공항동_060_1,923,3.0,7.0,37.558632,126.819916,126.819916
화곡1동_047_1,924,2.0,8.0,37.53159,126.846642,126.846642
발산1동_035_2,925,3.0,19.0,37.553631,126.828613,126.828613
가양1동_010_1,926,2.0,1.0,37.572975,126.832443,126.832443
발산1동_030_1,927,1.0,19.0,37.550617,126.826881,126.826881
등촌3동_003_2,928,2.0,17.0,37.559906,126.850426,126.850426
용강동_013_1,929,6.0,12.0,37.542347,126.943024,126.943024
상계1동_029_1,930,3.0,6.0,37.686451,127.052834,127.052834
"상계6,7동_049_1",931,6.0,21.0,37.650249,127.057152,127.057152
공릉1동_061_1,932,5.0,13.0,37.629814,127.066505,127.066505
공릉1동_059_1,933,5.0,11.0,37.62862,127.06691,127.06691
월계2동_014_1,934,0.0,15.0,37.633728,127.044365,127.044365
대흥동_029_1,935,6.0,12.0,37.552956,126.934341,126.934341
중계1동_050_1,936,0.0,23.0,37.650505,127.073982,127.073982
월계2동_014_2,937,1.0,15.0,37.630749,127.053108,127.053108
월계1동_015_2,938,4.0,9.0,37.620003,127.058563,127.058563
월계3동_003_1,939,4.0,9.0,37.615459,127.067451,127.067451
공릉1동_040_1,940,4.0,8.0,37.62289,127.073654,127.073654
상계5동_001_1,941,2.0,15.0,37.658871,127.071915,127.071915
하계1동_023_1,942,1.0,16.0,37.638157,127.073265,127.073265
상계8동_015_1,943,2.0,18.0,37.66713,127.051765,127.051765
공릉2동_044_1,944,1.0,10.0,37.629509,127.081039,127.081039
하계1동_040_1,945,1.0,10.0,37.634899,127.077675,127.077675
월계2동_014_3,946,0.0,15.0,37.628071,127.046921,127.046921
"중계2,3동_011_1",947,2.0,17.0,37.640205,127.067619,127.067619
"상계6,7동_025_1",948,3.0,22.0,37.651035,127.06871,127.06871
"중계2,3동_045_1",949,1.0,24.0,37.64587,127.06562,127.06562
창4동_041_1,950,4.0,11.0,37.650391,127.052193,127.052193
방학1동_030_1,951,1.0,12.0,37.664803,127.04303,127.04303
방학1동_007_1,952,1.0,12.0,37.666271,127.04599,127.04599
도봉2동_001_1,953,2.0,7.0,37.688267,127.048897,127.048897
창5동_016_1,954,3.0,15.0,37.652123,127.041702,127.041702
창1동_041_1,955,3.0,8.0,37.645481,127.048576,127.048576
쌍문3동_024_1,956,1.0,11.0,37.646896,127.033432,127.033432
신수동_021_1,957,3.0,6.0,37.545208,126.931465,126.931465
성산1동_006_1,958,3.0,12.0,37.564697,126.912613,126.912613
창5동_002_2,959,4.0,14.0,37.651485,127.044319,127.044319
쌍문1동_002_1,960,3.0,6.0,37.655685,127.013382,127.013382
쌍문1동_002_2,961,3.0,6.0,37.65728,127.013756,127.013756
도봉2동_031_2,962,2.0,12.0,37.677219,127.048637,127.048637
방학2동_018_1,963,0.0,5.0,37.665623,127.03109,127.03109
창5동_030_1,964,2.0,13.0,37.655338,127.042419,127.042419
망원2동_022_1,965,2.0,10.0,37.560909,126.905495,126.905495
창1동_018_2,966,1.0,15.0,37.64967,127.035614,127.035614
방학2동_012_1,967,0.0,10.0,37.66251,127.033279,127.033279
방학3동_037_1,968,0.0,13.0,37.662083,127.028748,127.028748
도봉2동_014_1,969,4.0,7.0,37.684738,127.050041,127.050041
쌍문4동_033_1,970,0.0,17.0,37.657967,127.03009,127.03009
쌍문2동_028_1,971,0.0,20.0,37.658051,127.035759,127.035759
쌍문2동_020_1,972,1.0,15.0,37.651348,127.034729,127.034729
성산2동_005_1,973,1.0,15.0,37.568295,126.915047,126.915047
창5동_002_3,974,3.0,14.0,37.651287,127.045547,127.045547
삼각산동_050_1,975,3.0,19.0,37.615223,127.018509,127.018509
우이동_034_1,976,2.0,4.0,37.646862,127.008812,127.008812
번1동_034_1,977,2.0,4.0,37.639202,127.027237,127.027237
번1동_032_2,978,1.0,9.0,37.635204,127.033966,127.033966
